t_s,qpos_shoulder_pan,qpos_shoulder_lift,qpos_elbow_flex,qpos_wrist_flex,qpos_wrist_roll,qpos_gripper
5.40007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.42007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.44007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.46007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.48007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.50006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.52007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.54007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.56007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.58007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.60007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.62007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.64007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.66007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.68007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.70007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.72007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.74007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.76007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.78007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.80007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.82007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.84007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.86007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.88007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.90007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.92007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.94007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.96007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
5.98007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.00007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.02007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.04007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.06007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.08007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.10007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.12006,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.14007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
6.16007,0.691662,-1.424851,1.571241,0.582877,1.843873,-0.182657
