t_recv_s,marker_finger_x,marker_finger_y,marker_finger_z,marker_finger_detected,marker_wrist_x,marker_wrist_y,marker_wrist_z,marker_wrist_detected
5.73341,0.113741,-0.104058,0.097787,1,0.075983,-0.063079,0.132366,1
5.76542,0.113719,-0.104299,0.097869,1,0.075899,-0.063088,0.132402,1
5.79740,0.113753,-0.104416,0.097904,1,0.075982,-0.062821,0.132357,1
5.83353,0.113718,-0.104504,0.097945,1,0.075932,-0.062984,0.132394,1
5.86540,0.113683,-0.104445,0.097898,1,0.075910,-0.063195,0.132406,1
5.89742,0.113673,-0.104227,0.097890,1,0.075848,-0.063010,0.132419,1
5.93338,0.113654,-0.104384,0.097984,1,0.075809,-0.062756,0.132407,1
5.96544,0.113700,-0.104130,0.097806,1,0.075872,-0.062851,0.132322,1
5.99742,0.113635,-0.104740,0.097997,1,0.075850,-0.063319,0.132425,1
6.03333,0.113706,-0.104516,0.097917,1,0.075897,-0.062908,0.132378,1
6.06539,0.113686,-0.104230,0.097859,1,0.075892,-0.063000,0.132368,1
6.09735,0.113769,-0.104143,0.097796,1,0.075966,-0.063030,0.132372,1
6.13343,0.113827,-0.104017,0.097803,1,0.076038,-0.062771,0.132358,1
6.16549,0.113748,-0.104100,0.097818,1,0.075951,-0.063093,0.132400,1
6.19743,0.113678,-0.104225,0.097841,1,0.075917,-0.063478,0.132439,1
6.23344,0.113739,-0.104503,0.097958,1,0.075993,-0.063385,0.132500,1
6.26543,0.113649,-0.104441,0.097954,1,0.075815,-0.062796,0.132360,1
6.29737,0.113755,-0.104460,0.097991,1,0.075972,-0.063274,0.132506,1
6.33337,0.113571,-0.104526,0.097964,1,0.075756,-0.062964,0.132363,1
6.36536,0.113688,-0.104732,0.098041,1,0.075879,-0.062931,0.132422,1
6.39736,0.113722,-0.104468,0.097899,1,0.075918,-0.062794,0.132332,1
6.43333,0.113730,-0.104608,0.097918,1,0.075956,-0.063064,0.132371,1
6.46540,0.113686,-0.104439,0.097939,1,0.075886,-0.063100,0.132424,1
6.49736,0.113710,-0.104063,0.097824,1,0.075865,-0.062926,0.132377,1
6.53343,0.113733,-0.104665,0.097978,1,0.075953,-0.063174,0.132437,1
6.56533,0.113719,-0.104205,0.097842,1,0.075920,-0.062774,0.132333,1
6.59740,0.113714,-0.104237,0.097892,1,0.075934,-0.063183,0.132444,1
6.63342,0.113676,-0.104429,0.097914,1,0.075859,-0.062772,0.132337,1
6.66540,0.113762,-0.104344,0.097854,1,0.075935,-0.062622,0.132322,1
6.69741,0.113643,-0.104415,0.097925,1,0.075847,-0.062949,0.132377,1
6.73332,0.113736,-0.104416,0.097909,1,0.075929,-0.063143,0.132401,1
6.76540,0.113683,-0.104656,0.097966,1,0.075868,-0.062825,0.132348,1
6.79731,0.113702,-0.104632,0.098007,1,0.075909,-0.063024,0.132434,1
6.83341,0.113740,-0.103913,0.097724,1,0.075977,-0.062950,0.132333,1
6.86556,0.113687,-0.104541,0.097913,1,0.075891,-0.063118,0.132377,1
6.89742,0.113576,-0.104452,0.098011,1,0.075718,-0.062852,0.132423,1
6.93340,0.113698,-0.104581,0.098009,1,0.075897,-0.062968,0.132425,1
6.96530,0.113680,-0.104530,0.097919,1,0.075861,-0.062736,0.132299,1
